repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
before_fix,online_normalized_active,obs_current,7,100,0,0,-0.08928470022976398,0.8384056252275374,-1.1027250289916992,1.8787862062454224,-1.1027250289916992,-1.1027250289916992,-0.3112403154373169,0.9052778691053388,1.5859777522087113,
before_fix,online_normalized_active,obs_current,8,100,0,0,-0.5960485582612455,1.317413134712403,-3.1563267707824707,2.404653787612915,-3.026361985206604,-2.66595664024353,-0.6823338568210602,1.5815565347671503,2.2709870386123665,
before_fix,online_normalized_active,obs_current,9,100,0,0,3.822441799044609,1.1800518163264981,-0.9814172387123108,5.621298313140869,0.8080530846118927,1.715198713541031,3.986272096633911,5.351388359069825,5.602195105552673,
before_fix,online_normalized_active,obs_current,10,100,0,0,0.21536565214395523,0.6593512338879935,-1.499883770942688,1.1594176292419434,-1.499883770942688,-0.17023304104804993,-0.17023304104804993,1.1594176292419434,1.1594176292419434,
before_fix,online_normalized_active,obs_current,11,100,0,0,8648.071796875,50676.38967474172,0.0,417888.125,0.0,0.0,0.0,0.0,272092.7121875007,
before_fix,online_normalized_active,history_valid_mask,0,2000,0,0,0.4335,0.49555801880304595,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
after_fix,online_raw_active,ego_current,0,100,0,0,-0.9091781228780746,0.2332410051815437,-0.9999738335609436,0.0,-0.9999738335609436,-0.9999735504388809,-0.9994330406188965,-0.5231238991022126,0.0,
after_fix,online_raw_active,ego_current,1,100,0,0,0.006549303047358989,0.0016801614458594447,0.0,0.00720335403457284,0.0,0.0037683453643694528,0.007199458312243223,0.007203352265059948,0.00720335403457284,
after_fix,online_raw_active,ego_current,2,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
after_fix,online_raw_active,ego_current,3,100,0,0,-0.9999740481376648,2.9200193199910855e-08,-0.9999740719795227,-0.9999740123748779,-0.9999740719795227,-0.9999740719795227,-0.9999740719795227,-0.9999740123748779,-0.9999740123748779,
after_fix,online_raw_active,ego_current,4,100,0,0,0.00720335547812283,6.731987136789114e-10,0.007203354500234127,0.007203357294201851,0.007203354500234127,0.007203354500234127,0.007203355431556702,0.007203356409445405,0.007203357294201851,
after_fix,online_raw_active,ego_current,5,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
after_fix,online_raw_active,ego_current,6,100,0,0,0.8969659835100174,0.06654894462578362,0.7860758304595947,1.0,0.7860758304595947,0.7972519040107727,0.8978323638439178,0.9938457190990447,1.0,
after_fix,online_raw_active,ego_current,7,100,0,0,-0.9499753475189209,0.21793929150999697,-0.9999740719795227,0.0,-0.9999740719795227,-0.9999740719795227,-0.9999740719795227,-0.9499753117561369,0.0,
after_fix,online_raw_active,ego_current,8,100,0,0,0.00684318772982806,0.0015699349350526677,0.0,0.007203357294201851,0.0,0.006843186775222422,0.007203355431556702,0.007203356409445405,0.007203357294201851,
after_fix,online_raw_active,ego_current,9,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
after_fix,online_raw_active,obs_current,0,100,0,0,-0.41892241306602956,0.20029873077927693,-0.9133700132369995,-0.020958900451660156,-0.8597784042358398,-0.7127671629190445,-0.4131307005882263,-0.09556414559483528,-0.04680169396102415,
after_fix,online_raw_active,obs_current,1,100,0,0,-0.04589494844898581,0.3160287290183357,-0.6053730249404907,0.6253081560134888,-0.523865864276886,-0.4705037072300911,-0.14097213000059128,0.43254912197589873,0.5372059583663945,
after_fix,online_raw_active,obs_current,2,100,0,0,0.00046996637189295143,0.015126631196801181,-0.02861959859728813,0.02394421026110649,-0.02703616186976433,-0.02211683476343751,-0.0021327496506273746,0.02394421026110649,0.02394421026110649,
after_fix,online_raw_active,obs_current,3,100,0,0,0.6058745830412954,0.21510710711233327,-0.18202954530715942,1.0474352836608887,-0.022815493885427716,0.2055680548772216,0.6775505840778351,0.8723098725080489,0.9983365893363955,
after_fix,online_raw_active,obs_current,4,100,0,0,0.2609487998113036,0.3589990545287706,-0.7156950831413269,0.7422752380371094,-0.40487522810697557,-0.30018829107284545,0.4669063240289688,0.6967408448457718,0.6972795295715334,
